Time,tv_sponsorships,tv_cricket,tv_RON,radio,NPP,Magazines,OOH,Social,Display_Rest,sales
1/1/2001,119.652,66.729,43.719,37.8,55.36,13.84,35,41.8782,33.50256,22100
1/2/2001,23.14,12.905,8.455,39.3,36.08,9.02,35,8.099,6.4792,10400
1/3/2001,8.944,4.988,3.268,45.9,55.44,13.86,35,3.1304,2.50432,9300
1/4/2001,78.78,43.935,28.785,41.3,46.8,11.7,35,27.573,22.0584,18500
1/5/2001,94.016,52.432,34.352,10.8,46.72,11.68,35,32.9056,26.32448,12900
1/6/2001,4.524,2.523,1.653,48.9,60,15,35,1.5834,1.26672,7200
1/7/2001,29.9,16.675,10.925,32.8,18.8,4.7,35,10.465,8.372,11800
1/8/2001,62.504,34.858,22.838,19.6,9.28,2.32,35,21.8764,17.50112,13200
1/9/2001,4.472,2.494,1.634,2.1,0.8,0.2,35,1.5652,1.25216,4800
1/10/2001,103.896,57.942,37.962,2.6,16.96,4.24,35,36.3636,29.09088,10600
1/11/2001,10,19.169,59.49,5.8,19.36,4.84,35,41.8782,33.50256,8600
1/12/2001,10,62.263,193.23,24,3.2,0.8,35,41.8782,33.50256,17400
1/1/2002,10,6.902,21.42,35.1,52.72,13.18,35,41.8782,33.50256,9200
1/2/2002,10,28.275,87.75,7.6,5.76,1.44,35,10,33.50256,9700
1/3/2002,10,59.189,183.69,32.9,36.8,9.2,35,10,33.50256,19000
1/4/2002,10,56.666,175.86,47.7,42.32,10.58,35,10,33.50256,22400
1/5/2002,10,19.662,61.02,36.6,91.2,22.8,35,10,33.50256,12500
1/6/2002,10,81.606,253.26,39.6,44.64,11.16,35,10,33.50256,24400
1/7/2002,10,20.068,62.28,20.5,14.64,3.66,35,10,33.50256,11300
1/8/2002,10,42.717,132.57,23.9,15.28,3.82,35,10,33.50256,14600
1/9/2002,10,63.336,196.56,27.7,42.72,10.68,35,10,33.50256,18000
1/10/2002,10,68.846,213.66,5.1,18.8,4.7,35,10,33.50256,12500
1/11/2002,10,3.828,11.88,15.9,39.68,9.92,35,10,1,5600
1/12/2002,10,66.207,205.47,16.9,20.96,5.24,35,10,1,15500
1/1/2003,10,18.067,56.07,12.6,14.64,3.66,35,10,1,9700
1/2/2003,10,76.241,236.61,3.5,15.6,3.9,35,10,1,12000
1/3/2003,10,71.45,128.61,29.3,10.08,2.52,40,10,1,15000
1/4/2003,10,120.05,216.09,16.7,18.32,4.58,40,10,1,15900
1/5/2003,10,124.4,223.92,27.1,18.32,4.58,40,10,1,18900
1/6/2003,28.24,35.3,7.06,16,32.64,8.16,40,9.884,7.9072,10500
1/7/2003,117.16,146.45,29.29,28.3,38.88,4.32,40,41.006,32.8048,21400
1/8/2003,45.16,56.45,11.29,17.4,34.74,3.86,40,15.806,12.6448,11900
1/9/2003,38.88,48.6,9.72,1.5,27,3,40,13.608,10.8864,9600
1/10/2003,106.24,132.8,26.56,20,0.27,0.03,40,37.184,29.7472,17400
1/11/2003,38.28,47.85,9.57,1.4,6.66,0.74,40,13.398,10.7184,9500
1/12/2003,116.28,145.35,29.07,4.1,7.65,0.85,40,40.698,32.5584,12800
1/1/2004,106.76,133.45,26.69,43.8,4.5,0.5,40,37.366,29.8928,25400
1/2/2004,29.88,37.35,7.47,49.4,41.13,4.57,40,10.458,8.3664,14700
1/3/2004,17.24,21.55,4.31,26.7,31.59,3.51,40,6.034,4.8272,10100
1/4/2004,91.2,114,22.8,37.7,28.8,3.2,40,31.92,25.536,21500
1/5/2004,81,101.25,20.25,22.3,28.44,3.16,40,28.35,22.68,16600
1/6/2004,70.8,88.5,17.7,33.4,34.83,3.87,40,24.78,19.824,17100
1/7/2004,117.44,146.8,29.36,27.7,1.62,0.18,40,41.104,32.8832,20700
1/8/2004,82.76,103.45,20.69,8.4,23.76,2.64,40,28.966,23.1728,12900
1/9/2004,10.04,12.55,2.51,25.7,38.97,4.33,40,3.514,2.8112,8500
1/10/2004,70.04,87.55,17.51,22.5,28.35,3.15,40,24.514,19.6112,14900
1/11/2004,35.88,44.85,8.97,9.9,32.13,3.57,40,12.558,10.0464,10600
1/12/2004,95.96,119.95,23.99,41.5,16.65,1.85,40,33.586,26.8688,23200
1/1/2005,90.88,113.6,22.72,15.8,44.91,4.99,40,31.808,25.4464,14800
1/2/2005,26.76,33.45,6.69,11.7,33.12,3.68,40,9.366,7.4928,9700
1/3/2005,79.92,99.9,19.98,3.1,31.14,3.46,40,27.972,22.3776,11400
1/4/2005,40.16,50.2,10.04,9.6,3.24,0.36,40,14.056,11.2448,10700
1/5/2005,86.56,108.2,21.64,41.7,35.64,3.96,20,30.296,24.2368,22600
1/6/2005,73.04,91.3,18.26,46.2,52.83,5.87,20,25.564,20.4512,21200
1/7/2005,105.08,131.35,26.27,28.8,14.31,1.59,20,36.778,29.4224,20200
1/8/2005,79.56,99.45,19.89,49.4,54,6,20,27.846,22.2768,23700
1/9/2005,2.92,3.65,0.73,28.1,37.26,4.14,20,1.022,0.8176,5500
1/10/2005,54.48,68.1,13.62,19.2,14.94,1.66,20,19.068,15.2544,13200
1/11/2005,84.32,105.4,21.08,49.6,33.93,3.77,20,29.512,23.6096,23800
1/12/2005,84.28,105.35,21.07,29.5,8.37,0.93,20,29.498,23.5984,18400
1/1/2006,21.4,26.75,5.35,2,19.26,2.14,20,7.49,5.992,8100
1/2/2006,104.52,130.65,26.13,42.7,49.23,5.47,20,36.582,29.2656,24200
1/3/2006,95.72,119.65,23.93,15.5,24.57,2.73,20,33.502,26.8016,15700
1/4/2006,41.08,51.35,10.27,29.6,7.56,0.84,20,14.378,11.5024,14000
1/5/2006,52.44,65.55,13.11,42.8,26.01,2.89,20,18.354,14.6832,18000
1/6/2006,27.6,34.5,6.9,9.3,0.81,0.09,20,9.66,7.728,9300
1/7/2006,12.6,15.75,3.15,24.6,1.98,0.22,20,4.41,3.528,9500
1/8/2006,55.72,69.65,13.93,14.5,9.18,1.02,20,19.502,15.6016,13400
1/9/2006,94.96,118.7,23.74,27.5,9.9,1.1,20,33.236,26.5888,18900
1/10/2006,86.72,108.4,21.68,43.9,24.48,2.72,20,30.352,24.2816,22300
1/11/2006,99.55,2,99.55,30.6,34.83,3.87,30,34.8425,27.874,18300
1/12/2006,54.9,2,54.9,14.3,28.53,3.17,30,19.215,15.372,12400
1/1/2007,13.4,2,13.4,33,17.37,1.93,30,4.69,3.752,8800
1/2/2007,64.7,2,64.7,5.7,28.17,3.13,30,22.645,18.116,11000
1/3/2007,106.7,2,106.7,24.6,11.79,1.31,30,37.345,29.876,17000
1/4/2007,8.45,2,8.45,43.7,80.46,8.94,30,2.9575,2.366,8700
1/5/2007,13.75,2,13.75,1.6,18.63,2.07,30,4.8125,3.85,6900
1/6/2007,60.25,2,60.25,28.5,12.78,1.42,30,21.0875,16.87,14200
1/7/2007,2.7,2,2.7,29.9,8.46,0.94,30,0.945,0.756,5300
1/8/2007,58,2,58,7.7,20.79,2.31,30,20.3,16.24,11000
1/9/2007,38.2,2,38.2,26.7,20.07,2.23,30,13.37,10.696,11800
1/10/2007,119.9,2,119.9,4.1,33.21,3.69,30,41.965,33.572,12300
1/11/2007,37.65,2,37.65,20.3,29.25,3.25,30,13.1775,10.542,11300
1/12/2007,34.2,2,34.2,44.5,32.04,3.56,30,11.97,9.576,13600
1/1/2008,106.75,2,106.75,43,30.42,3.38,30,37.3625,29.89,21700
1/2/2008,96.6,2,96.6,18.4,59.13,6.57,30,33.81,27.048,15200
1/3/2008,38.15,2,38.15,27.5,14.4,1.6,30,13.3525,10.682,12000
1/4/2008,55.35,2,55.35,40.6,56.88,6.32,30,19.3725,15.498,16000
1/5/2008,44.15,2,44.15,25.5,66.06,7.34,30,15.4525,12.362,12900
1/6/2008,54.9,2,54.9,47.8,46.26,5.14,30,19.215,15.372,16700
1/7/2008,67.15,2,67.15,4.9,8.37,0.93,30,23.5025,18.802,11200
1/8/2008,14.3,2,14.3,1.5,29.7,3.3,30,5.005,4.004,7300
1/9/2008,108.85,2,108.85,33.5,53.1,5.9,30,38.0975,30.478,19400
1/10/2008,125.45,2,125.45,36.5,65.07,7.23,30,43.9075,35.126,22200
1/11/2008,53.7,2,53.7,14,9.81,1.09,30,18.795,15.036,11500
1/12/2008,81.65,2,81.65,31.6,47.61,5.29,30,28.5775,22.862,16900
1/1/2009,98.8,2,98.8,3.5,5.31,0.59,30,34.58,27.664,11700
1/2/2009,92.45,2,92.45,21,19.8,2.2,30,32.3575,25.886,15500
1/3/2009,144.85,2,144.85,42.3,46.08,5.12,30,50.6975,40.558,25400
1/4/2009,22.24,94.64,67.6,41.7,36.72,9.18,30,7.784,1,17200
1/5/2009,22.24,155.68,44.48,4.3,39.84,9.96,30,7.784,1,11700
1/6/2009,29.64,207.48,59.28,36.3,80.72,20.18,30,10.374,1,23800
1/7/2009,28.02,196.14,56.04,10.1,17.12,4.28,30,9.807,1,14800
1/8/2009,18.79,131.53,37.58,17.2,14.32,3.58,30,6.5765,1,14700
1/9/2009,23.82,166.74,47.64,34.3,4.24,1.06,30,8.337,1,20700
1/10/2009,13.79,96.53,27.58,46.4,47.2,11.8,30,4.8265,1,19200
1/11/2009,2.5,17.5,5,11,23.76,5.94,30,0.875,1,7200
1/12/2009,9.04,63.28,18.08,0.3,18.56,4.64,30,3.164,1,8700
1/1/2010,1.31,9.17,2.62,0.4,20.48,5.12,30,0.4585,1,5300
1/2/2010,25.54,178.78,51.08,26.9,4.4,1.1,40,8.939,1,19800
1/3/2010,22.58,158.06,45.16,8.2,45.2,11.3,40,7.903,1,13400
1/4/2010,24.17,169.19,48.34,38,18.56,4.64,40,8.4595,1,21800
1/5/2010,17.57,122.99,35.14,15.4,1.92,0.48,40,6.1495,1,14100
1/6/2010,20.96,146.72,41.92,20.6,8.56,2.14,40,7.336,1,15900
1/7/2010,7.82,54.74,15.64,46.8,27.6,6.9,40,2.737,1,14600
1/8/2010,7.51,52.57,15.02,35,42.16,10.54,40,2.6285,1,12600
1/9/2010,13.92,97.44,27.84,14.3,20.48,5.12,40,4.872,1,12200
1/10/2010,7.64,53.48,15.28,0.8,11.84,2.96,40,2.674,1,9400
1/11/2010,12.57,87.99,25.14,36.9,63.36,15.84,40,4.3995,3.5196,15900
1/12/2010,15.52,1,3.88,16,17.84,4.46,40,5.432,4.3456,6600
1/1/2011,113.04,1,28.26,26.8,36.96,9.24,40,39.564,31.6512,15500
1/2/2011,15.04,1,3.76,21.7,40.32,10.08,40,5.264,4.2112,7000
1/3/2011,179.2,1,44.8,2.4,12.48,3.12,40,62.72,50.176,11600
1/4/2011,98.48,1,24.62,34.6,9.92,2.48,40,34.468,27.5744,15200
1/5/2011,183.6,1,45.9,32.3,59.36,14.84,40,64.26,51.408,19700
1/6/2011,69.76,1,17.44,11.8,20.72,5.18,40,24.416,19.5328,10600
1/7/2011,7.8,1,0,38.9,40.48,10.12,40,2.73,2.184,6600
1/8/2011,64.16,1,16.04,0,7.36,1.84,40,22.456,17.9648,8800
1/9/2011,176.24,1,44.06,49,2.56,0.64,40,61.684,49.3472,24700
1/10/2011,47.68,1,11.92,12,34.48,8.62,40,16.688,13.3504,9700
1/11/2011,0.7,1,0,39.6,6.96,1.74,40,0.245,0.196,1600
1/12/2011,212.16,1,53.04,2.9,34.4,8.6,40,74.256,59.4048,12700
1/1/2012,8.4,1,0,27.2,1.68,0.42,40,2.94,2.352,5700
1/2/2012,175.84,1,43.96,33.5,36.08,9.02,40,61.544,49.2352,19600
1/3/2012,29.52,1,7.38,38.6,52.48,13.12,40,10.332,8.2656,10800
1/4/2012,38.64,1,9.66,47,6.8,1.7,40,13.524,10.8192,11600
1/5/2012,20.48,1,5.12,39,7.44,1.86,40,7.168,5.7344,9500
1/6/2012,218.96,1,54.74,28.9,47.76,11.94,40,76.636,61.3088,20800
1/7/2012,34.4,1,8.6,25.9,16.4,4.1,40,12.04,9.632,9600
1/8/2012,147.92,1,36.98,43.9,1.36,0.34,40,51.772,41.4176,20700
1/9/2012,58.72,1,14.68,17,10.32,2.58,40,20.552,16.4416,10900
1/10/2012,154.96,1,38.74,35.4,60.48,15.12,40,54.236,43.3888,19200
1/11/2012,176.4,1,44.1,33.2,30.32,7.58,40,61.74,49.392,20100
1/12/2012,83.68,1,20.92,5.7,27.52,6.88,40,29.288,23.4304,10400
1/1/2013,76.96,1,19.24,14.8,31.12,7.78,40,26.936,21.5488,11400
1/2/2013,112.24,1,28.06,1.9,7.2,1.8,40,39.284,31.4272,10300
1/3/2013,192.08,1,48.02,7.3,6.96,1.74,40,67.228,53.7824,13200
1/4/2013,194.56,1,48.64,49,35.44,8.86,40,68.096,54.4768,25400
1/5/2013,30.4,1,7.6,40.3,9.52,2.38,40,10.64,8.512,10900
1/6/2013,35.76,1,8.94,25.8,16.48,4.12,40,12.516,10.0128,10100
1/7/2013,224.56,1,56.14,13.9,29.6,7.4,15,78.596,62.8768,16100
1/8/2013,96.8,1,24.2,8.4,38.96,9.74,15,33.88,27.104,11600
1/9/2013,158.08,1,39.52,23.3,11.36,2.84,15,55.328,44.2624,16600
1/10/2013,137.04,1,34.26,39.7,30.16,7.54,15,47.964,38.3712,19000
1/11/2013,150.24,1,37.56,21.1,7.6,1.9,15,52.584,42.0672,15600
1/12/2013,3.28,1,0.82,11.6,4.56,1.14,15,1.148,0.9184,3200
1/1/2014,75.12,1,18.78,43.5,40.4,10.1,15,26.292,21.0336,15300
1/2/2014,119.84,1,29.96,1.3,19.44,4.86,15,41.944,33.5552,10100
1/3/2014,9.36,1,2.34,36.9,36.16,9.04,15,3.276,2.6208,7300
1/4/2014,105.36,1,26.34,18.4,27.68,6.92,15,36.876,29.5008,12900
1/5/2014,138,1,34.5,18.1,24.56,6.14,15,48.3,38.64,14400
1/6/2014,68.56,1,17.14,35.8,39.44,9.86,15,23.996,19.1968,13300
1/7/2014,150.72,1,37.68,18.1,20.48,5.12,15,52.752,42.2016,14900
1/8/2014,130.8,1,32.7,36.8,5.92,1.48,15,45.78,36.624,18000
1/9/2014,93.76,1,23.44,14.7,4.32,1.08,15,32.816,26.2528,11900
1/10/2014,117.25,1,117.25,3.4,67.84,16.96,15,41.0375,32.83,11900
1/11/2014,8.95,1,8.95,37.6,17.28,4.32,15,3.1325,2.506,8000
1/12/2014,103.4,1,103.4,5.2,15.52,3.88,15,36.19,28.952,12200
1/1/2015,107.7,1,107.7,23.6,46.08,11.52,15,37.695,30.156,17100
1/2/2015,71.075,71.075,142.15,10.6,10,1,15,24.87625,19.901,15000
1/3/2015,12.5,12.5,25,11.6,10,1,15,4.375,3.5,8400
1/4/2015,41.125,41.125,82.25,20.9,10,1,15,14.39375,11.515,14500
1/5/2015,4.9,4.9,9.8,20.1,10,1,15,1.715,1.372,7600
1/6/2015,42.1,42.1,84.2,7.1,10,1,15,14.735,11.788,11700
1/7/2015,55.6,55.6,111.2,3.4,10,1,15,19.46,15.568,11500
1/8/2015,69.225,69.225,138.45,48.9,10,1,15,24.22875,19.383,27000
1/9/2015,62.1,62.1,124.2,30.2,10,1,15,21.735,17.388,20200
1/10/2015,42.55,42.55,85.1,7.8,10,1,15,14.8925,11.914,11700
1/11/2015,69.175,69.175,138.35,2.3,10,1,15,24.21125,19.369,11800
1/12/2015,41.4,41.4,82.8,10,10,1,15,14.49,11.592,12600
1/1/2016,39.15,39.15,78.3,2.6,10,1,15,13.7025,10.962,10500
1/2/2016,54.625,54.625,109.25,5.4,10,1,15,19.11875,15.295,12200
1/3/2016,14.05,14.05,28.1,5.7,10,1,15,4.9175,3.934,8700
1/4/2016,71.9,71.9,143.8,43,10,1,15,25.165,20.132,26200
